N,output,parameter,S1,S1_conf,ST,ST_conf
128,C30_ppm,Pmax,-0.10327016871559562,0.8499605741950458,0.03836907996860609,0.025686866086886216
128,C30_ppm,alpha,0.04777984385694586,0.1819739932593823,0.0017103529843129845,0.0010519337118667627
128,C30_ppm,Kc,-0.0023367452669261373,0.02136075996162883,2.413684106417433e-05,2.2911885481824134e-05
128,C30_ppm,a_s,-0.00969476466704354,1.2105430742665626,0.07264054353571668,0.041852581639677255
128,C30_ppm,Lc,-0.006549283827508751,0.025077015565097494,3.679868539232096e-05,1.9783595683783306e-05
128,C30_ppm,A,0.26472986981279883,0.768083241280794,0.03067987876193309,0.015187673077983294
128,C30_ppm,L,-0.042313234887890294,0.6256979582309941,0.021491942715145353,0.00899665703548259
128,C30_ppm,Qb,0.083495918926343,0.19293577513002858,0.002020323533978058,0.0014823768099143635
128,C30_ppm,I,0.11957280717978996,0.3767548788495759,0.007482366690108305,0.005460793169395538
128,C30_ppm,ACH,0.8434156009010932,4.127587982703089,0.847413979852073,0.17431742479151136
128,eta_sp,Pmax,0.06544605032841808,0.08390177333524237,0.21176606729637013,0.12225279911740536
128,eta_sp,alpha,0.022979033121704958,0.03392825150261855,0.011454876329920918,0.006446857400990279
128,eta_sp,Kc,-0.001126865247964271,0.004738037176548861,0.0003885985160494922,0.00024410386807600877
128,eta_sp,a_s,0.20172964454449963,0.19253646058965904,0.3546845036105393,0.1774198607180803
128,eta_sp,Lc,0.0019242685380635566,0.004465518704333374,0.0005645337368513809,0.0004671475514731882
128,eta_sp,A,0.11248361212746637,0.13081229069620232,0.20976058019203145,0.11661305743442069
128,eta_sp,L,0.05591651597442357,0.07680296564173023,0.1811753341705952,0.11132075073994888
128,eta_sp,Qb,0.13920267258493507,0.14304637982319837,0.3024500069312136,0.1306348626499683
128,eta_sp,I,-0.013236561195772024,0.060245351178005,0.050476037936348465,0.04054381206878726
128,eta_sp,ACH,0.0,0.0,0.0,0.0
128,CADR_m3h,Pmax,0.07767144064614763,0.1198491955295949,0.2414721461211242,0.13784646859014132
128,CADR_m3h,alpha,0.07349314327281319,0.08891316678373405,0.021446931265699187,0.009912703765774241
128,CADR_m3h,Kc,-0.00048438007092761856,0.00891839685180971,0.000648908380404923,0.0003940115071782705
128,CADR_m3h,a_s,0.3567077401288616,0.33993885727998774,0.5625752495615537,0.44091919500756127
128,CADR_m3h,Lc,0.002674697115440357,0.004887651411840207,0.00042602806673036376,0.00036199603784358694
128,CADR_m3h,A,0.15355608139084773,0.16356241857119086,0.2804119016643718,0.15658222837368518
128,CADR_m3h,L,0.12789341890994071,0.13867596909423718,0.23332843866490066,0.11609971476633721
128,CADR_m3h,Qb,0.0016161494251079628,0.01558876501220502,0.013606798552691625,0.018884683168638377
128,CADR_m3h,I,-0.004059050181161562,0.15352659442167818,0.09359965452851204,0.07657257019623465
128,CADR_m3h,ACH,0.0,0.0,0.0,0.0
256,C30_ppm,Pmax,-0.10489101103397945,0.5230080457524899,0.02972165367429467,0.01274271751772876
256,C30_ppm,alpha,0.01802956219127902,0.15246959626991946,0.002291160471010663,0.0013815158498680215
256,C30_ppm,Kc,-0.002206338557260785,0.014116567484566227,2.183530385323018e-05,1.2377154775306207e-05
256,C30_ppm,a_s,0.06326467022951647,0.769114787708907,0.060117964062322324,0.022950213038209082
256,C30_ppm,Lc,-0.0014832169644080047,0.01643519169827069,3.0719235589022617e-05,1.1703218484497905e-05
256,C30_ppm,A,0.11222485271853803,0.4959405825455467,0.02745740103595939,0.009365109522907172
256,C30_ppm,L,-0.001810718276302312,0.4586778649852746,0.023178089632187832,0.007074797384192679
256,C30_ppm,Qb,0.06600101215019415,0.16103775707677984,0.0028959855739847163,0.0021073684887820327
256,C30_ppm,I,0.07981413259231622,0.2496170170303201,0.007133345632303521,0.003821694754053186
256,C30_ppm,ACH,0.7762835121622381,2.8232324776868647,0.8687064322111409,0.12925015196825376
256,eta_sp,Pmax,0.08604210196068765,0.056796921048402185,0.16377051630573713,0.06495998953452861
256,eta_sp,alpha,0.023862267895265802,0.03587487630832581,0.02612264519317273,0.025218345652555492
256,eta_sp,Kc,-0.0006687678765957193,0.003551694180773779,0.00041670837045429117,0.0001705951390777427
256,eta_sp,a_s,0.21131509775836868,0.13233533480033183,0.39056936120642655,0.15408864039215558
256,eta_sp,Lc,0.0004141955713958132,0.0028090431533540072,0.00048730908325755033,0.00026207512282437574
256,eta_sp,A,0.1402417007033207,0.16728224486918966,0.259738780083045,0.11384092784692582
256,eta_sp,L,0.07300279455081081,0.0727271457740811,0.20031294779571307,0.08745538597694756
256,eta_sp,Qb,0.1566833336073953,0.13611250275069542,0.32600131107211155,0.11156629942016545
256,eta_sp,I,-0.0038666285545018225,0.033485128210804925,0.042593996640256045,0.022659931275916492
256,eta_sp,ACH,0.0,0.0,0.0,0.0
256,CADR_m3h,Pmax,0.09558885546891698,0.08056696145790936,0.2006044526625289,0.07431082283166146
256,CADR_m3h,alpha,0.0383939962901804,0.054295571137034815,0.028973985508235496,0.017660451702350047
256,CADR_m3h,Kc,0.00108201387552766,0.0058665976741174046,0.0006378771720185802,0.0003107704611903937
256,CADR_m3h,a_s,0.26360398796731394,0.18455366085320773,0.44773206448383396,0.22858940691508262
256,CADR_m3h,Lc,0.0014162253184710908,0.0031419508615181196,0.00040627015701293713,0.00021417441666238675
256,CADR_m3h,A,0.14546441669583487,0.1186932173400712,0.2628613415121522,0.09200845420527524
256,CADR_m3h,L,0.11447155963146971,0.10072584966290252,0.2250517272768289,0.07921352293485678
