mode,singular_value,relative_to_max
1,4.741717388577203,1.0
2,0.06935165292198502,0.014625851192450471
3,3.623442081632529e-05,7.641623877377004e-06
4,3.633907997616806e-09,7.663695871818279e-10
5,2.991180725237437e-10,6.308222274999331e-11
6,3.487548571086728e-13,7.355032544723632e-14
7,2.3624016968101627e-13,4.982164695224537e-14
8,2.024060283431782e-13,4.268622774330126e-14
9,2.990182872156347e-17,6.3061178621899684e-18
10,4.788774152070234e-18,1.0099239915913993e-18
